,C1 response mean,C2 response mean,C3 response mean,C4 response mean,C5 response mean,C6 response mean,C7 response mean,C8 response mean,E1 response mean,E2 response mean,E3 response mean,E4 response mean,H1 response mean,H2 response mean,H3 response mean,H4 response mean,H5 response mean
0,1.0,0.4148351648351648,0.3489306392532198,0.3716984769616349,0.3334925943621596,0.3361344537815126,0.5695970695970695,0.5934065934065934,0.40934065934065933,0.4468864468864469,0.46938775510204084,0.33664983664983666,0.25274725274725274,0.36073541842772605,0.3825222396650968,0.30240130240130236,0.3566849816849817
1,0.5186813186813186,0.3421443421443422,0.8461538461538461,0.41978021978021973,0.3898207056101793,0.3838703669212143,0.3265880461002412,0.39290897781463807,0.3142857142857143,0.34340659340659346,0.0,0.43956043956043955,0.3674819803852062,0.37540837540837546,0.32496075353218207,0.32967032967032966,0.4835164835164835
2,0.3471802922352372,0.371565934065934,0.5219780219780219,0.3626373626373626,0.3528693528693529,0.2657967032967033,0.5238095238095238,0.3079740772048465,0.35205535205535193,0.35635792778649916,0.0,0.17582417582417584,,0.36577708006279436,0.3509615384615385,0.4835164835164835,0.31868131868131866
3,,0.3434065934065934,,0.7838827838827839,,0.5142857142857142,,0.2857142857142857,,,1.0,0.7142857142857143,,-0.02197802197802198,,0.4175824175824176,0.43956043956043955
4,,,,0.2963488124778448,,,,,,,0.4065934065934066,0.18681318681318682,,,,0.7142857142857143,0.3516483516483517
5,,,,,,,,,,,0.17582417582417584,0.32967032967032966,,,,0.3516483516483517,0.23076923076923078
6,,,,,,,,,,,0.0,0.0,,,,0.0,0.3626373626373626
7,,,,,,,,,,,0.4175824175824176,0.34065934065934067,,,,0.5384615384615384,0.3626373626373626
8,,,,,,,,,,,0.3626373626373626,1.0,,,,0.23076923076923078,0.3516483516483517
9,,,,,,,,,,,0.3956043956043956,0.4065934065934066,,,,1.0,1.0
10,,,,,,,,,,,0.32967032967032966,1.0,,,,0.17582417582417584,0.3956043956043956
11,,,,,,,,,,,0.4835164835164835,0.3956043956043956,,,,0.5384615384615384,0.12087912087912088
12,,,,,,,,,,,0.3516483516483517,0.12087912087912088,,,,0.3626373626373626,0.32967032967032966
13,,,,,,,,,,,0.0,0.17582417582417584,,,,0.3076923076923077,0.3076923076923077
14,,,,,,,,,,,0.10989010989010989,0.6813186813186813,,,,0.14285714285714285,0.4065934065934066
15,,,,,,,,,,,0.03296703296703297,0.8681318681318682,,,,0.0,0.43956043956043955
16,,,,,,,,,,,-0.06593406593406594,0.37362637362637363,,,,0.10989010989010989,1.0
17,,,,,,,,,,,0.14285714285714285,0.38461538461538464,,,,0.3626373626373626,0.3076923076923077
18,,,,,,,,,,,0.34065934065934067,0.3626373626373626,,,,0.3516483516483517,0.3626373626373626
19,,,,,,,,,,,-0.02197802197802198,0.3516483516483517,,,,0.32967032967032966,0.38461538461538464
20,,,,,,,,,,,0.3956043956043956,0.32967032967032966,,,,0.34065934065934067,0.0
21,,,,,,,,,,,0.5384615384615384,0.3516483516483517,,,,0.32967032967032966,0.3076923076923077
22,,,,,,,,,,,0.31868131868131866,0.6043956043956044,,,,1.0,0.3516483516483517
23,,,,,,,,,,,0.3076923076923077,,,,,0.3516483516483517,0.3516483516483517
24,,,,,,,,,,,0.34065934065934067,,,,,0.31868131868131866,0.3516483516483517
25,,,,,,,,,,,0.3626373626373626,,,,,0.0,0.18681318681318682
26,,,,,,,,,,,0.4835164835164835,,,,,0.4175824175824176,
27,,,,,,,,,,,0.13186813186813187,,,,,0.18681318681318682,
28,,,,,,,,,,,0.31868131868131866,,,,,0.3516483516483517,
29,,,,,,,,,,,0.3516483516483517,,,,,0.32967032967032966,
30,,,,,,,,,,,0.3516483516483517,,,,,0.34065934065934067,
31,,,,,,,,,,,0.7142857142857143,,,,,-0.06593406593406594,
32,,,,,,,,,,,0.34065934065934067,,,,,0.0,
33,,,,,,,,,,,0.3516483516483517,,,,,0.8681318681318682,
34,,,,,,,,,,,0.01098901098901099,,,,,0.32967032967032966,
35,,,,,,,,,,,0.17582417582417584,,,,,0.3626373626373626,
36,,,,,,,,,,,0.3516483516483517,,,,,0.34065934065934067,
37,,,,,,,,,,,0.31868131868131866,,,,,0.4835164835164835,
38,,,,,,,,,,,0.0989010989010989,,,,,1.0,
39,,,,,,,,,,,1.0,,,,,0.13186813186813187,
40,,,,,,,,,,,0.13186813186813187,,,,,0.31868131868131866,
41,,,,,,,,,,,1.0,,,,,0.32967032967032966,
42,,,,,,,,,,,1.0,,,,,0.13186813186813187,
43,,,,,,,,,,,0.3076923076923077,,,,,0.3956043956043956,
44,,,,,,,,,,,0.37362637362637363,,,,,0.3516483516483517,
45,,,,,,,,,,,0.32967032967032966,,,,,0.37362637362637363,
46,,,,,,,,,,,1.0,,,,,1.0,
47,,,,,,,,,,,0.32967032967032966,,,,,0.4175824175824176,
48,,,,,,,,,,,0.3626373626373626,,,,,0.31868131868131866,
49,,,,,,,,,,,1.0,,,,,0.3516483516483517,
50,,,,,,,,,,,0.3516483516483517,,,,,0.34065934065934067,
51,,,,,,,,,,,0.31868131868131866,,,,,1.0,
52,,,,,,,,,,,0.23076923076923078,,,,,0.43956043956043955,
53,,,,,,,,,,,0.3956043956043956,,,,,0.4065934065934066,
54,,,,,,,,,,,0.4175824175824176,,,,,0.43956043956043955,
55,,,,,,,,,,,0.3516483516483517,,,,,0.3956043956043956,
56,,,,,,,,,,,0.34065934065934067,,,,,0.3626373626373626,
57,,,,,,,,,,,0.18681318681318682,,,,,0.04395604395604396,
